,0
batch_Additional HCs,0.15245333312105405
adna_at_baseline (anti-dsdna level: negative < 30 iu; positive > 30 iu)_ --,0.1515338109510257
c4_at_baseline (g/l)_ --,0.10090036768190423
c4base (low < 0.1 g/l; normal >= 0.1 g/l; h = high)_N,0.06659082597878671
batch_ILLUMINATE-2,0.06575838337653464
adna_at_baseline (anti-dsdna level: negative < 30 iu; positive > 30 iu)_ Positive,0.057357276932267255
c3base (low < 0.9 g/l; normal >= 0.9 g/l; h = high)_N,0.053502496794325796
batch_ILLUMINATE-1,0.04841844841120227
race_white,0.04045274557598114
region_us_can,0.03300103645518552
